90a75961-332c-48e3-a48e-0332d9a9b592_(t),bdbca314-bf54-4404-92d4-d250cce9e6d1_(t),14fbfb3c-b94c-42dc-80a8-87e043d31b51_(t),90a75961-332c-48e3-a48e-0332d9a9b592_(t-1),bdbca314-bf54-4404-92d4-d250cce9e6d1_(t-1)
0.46,0.555,0.0,0.474,0.55
0.466,0.555,0.0,0.46,0.555
0.46,0.546,0.0,0.466,0.555
0.454,0.542,0.0,0.46,0.546
0.45,0.55,0.0,0.454,0.542
0.445,0.54,0.0,0.45,0.55
0.473,0.556,0.0,0.445,0.54
0.477,0.557,1.0,0.473,0.556
0.453,0.572,0.0,0.477,0.557
0.463,0.55,0.0,0.453,0.572
0.464,0.572,0.0,0.463,0.55
0.454,0.566,0.0,0.464,0.572
0.462,0.547,0.0,0.454,0.566
0.466,0.542,0.0,0.462,0.547
0.476,0.549,0.0,0.466,0.542
0.475,0.541,0.0,0.476,0.549
0.479,0.549,0.0,0.475,0.541
0.469,0.554,0.0,0.479,0.549
0.47,0.565,0.0,0.469,0.554
0.471,0.56,0.0,0.47,0.565
0.458,0.56,1.0,0.471,0.56
0.464,0.552,2.0,0.458,0.56
0.453,0.55,2.0,0.464,0.552
0.456,0.554,1.0,0.453,0.55
0.442,0.545,1.0,0.456,0.554
0.439,0.541,0.0,0.442,0.545
0.453,0.549,0.0,0.439,0.541
0.463,0.545,0.0,0.453,0.549
0.481,0.562,1.0,0.463,0.545
0.483,0.554,0.0,0.481,0.562
0.472,0.564,0.0,0.483,0.554
0.477,0.56,0.0,0.472,0.564
0.457,0.559,0.0,0.477,0.56
0.459,0.561,0.0,0.457,0.559
0.469,0.565,0.0,0.459,0.561
0.479,0.57,0.0,0.469,0.565
0.484,0.559,0.0,0.479,0.57
0.478,0.548,0.0,0.484,0.559
0.455,0.544,0.0,0.478,0.548
0.456,0.558,0.0,0.455,0.544
0.467,0.564,1.0,0.456,0.558
0.478,0.592,0.0,0.467,0.564
0.47,0.583,0.0,0.478,0.592
0.457,0.582,0.0,0.47,0.583
0.443,0.573,0.0,0.457,0.582
0.46,0.567,1.0,0.443,0.573
0.45,0.57,0.0,0.46,0.567
0.442,0.557,0.0,0.45,0.57
0.443,0.553,0.0,0.442,0.557
0.447,0.558,0.0,0.443,0.553
0.463,0.561,0.0,0.447,0.558
0.466,0.548,0.0,0.463,0.561
0.466,0.551,1.0,0.466,0.548
0.461,0.554,0.0,0.466,0.551
0.463,0.543,0.0,0.461,0.554
0.459,0.543,1.0,0.463,0.543
0.464,0.539,0.0,0.459,0.543
0.451,0.54,0.0,0.464,0.539
0.448,0.538,0.0,0.451,0.54
0.438,0.548,1.0,0.448,0.538
0.446,0.569,0.0,0.438,0.548
0.449,0.57,0.0,0.446,0.569
0.452,0.554,0.0,0.449,0.57
0.447,0.549,0.0,0.452,0.554
0.47,0.548,1.0,0.447,0.549
0.478,0.575,0.0,0.47,0.548
0.47,0.593,1.0,0.478,0.575
0.455,0.587,1.0,0.47,0.593
0.451,0.573,0.0,0.455,0.587
0.462,0.572,0.0,0.451,0.573
